stud_id,w2sch_id,w2cls_id,w2td01,w2td02,w2td03,w2td04,w2td05,w2td06,w2td07,w2td08,w2td09,w2td10,w2td11,w2td12,w2td13,w2td14,w2td15,w2tcs1,w2tcs2,w2tcs3,w2tcs4,w2tcs5,w2tes1,w2tes2,w2tes3,w2tes4,w2tes5,w2tms1,w2tms2,w2tms3,w2tms4,w2tms5,w2sumerr,w2summis
00046,362,3413,3,3,3,2,3,4,2,3,3,3,4,4,4,2,3,2,1,4,3,3,2,2,4,4,2,2,3,4,4,3,0,0
00047,474,3569,3,3,3,2,3,2,3,3,3,3,3,4,4,4,4,2,2,3,4,3,2,2,4,4,2,2,2,4,2,2,0,0
00048,532,3009,2,3,4,2,1,2,2,4,3,3,2,4,4,3,2,99,99,99,99,99,1,2,4,3,2,2,1,4,4,3,0,5
00049,453,2425,2,3,2,2,2,2,2,2,2,2,1,4,4,3,3,2,2,4,2,2,1,2,4,3,1,2,2,3,4,2,0,0
00051,368,2374,3,6,2,2,3,2,2,2,2,2,3,4,4,3,4,2,2,4,4,3,1,1,4,2,1,2,1,4,3,2,0,0
00053,594,2496,3,3,3,3,3,3,3,3,3,2,3,3,4,3,3,2,3,3,3,3,4,5,3,4,4,2,2,3,4,3,0,0
00054,473,2927,4,2,3,4,2,3,4,4,4,4,2,1,4,1,4,3,3,4,4,4,4,4,1,4,97,2,3,4,3,3,1,0
00055,432,3570,3,6,3,2,1,2,2,4,3,3,1,2,4,1,3,2,2,3,4,3,3,3,4,3,3,2,2,3,2,2,0,0
00056,512,3291,3,3,3,3,2,4,3,3,3,3,2,4,4,4,3,2,2,4,3,2,2,2,4,3,3,3,3,1,4,3,0,0
00057,181,2207,3,6,3,3,3,2,4,6,3,4,2,3,4,2,2,3,3,3,4,4,99,99,99,99,99,3,4,3,4,3,0,5
00058,430,2645,4,3,2,2,2,3,2,2,3,2,3,4,4,4,3,2,2,4,2,1,2,2,4,1,1,1,1,4,2,1,0,0
00059,308,3210,3,2,3,2,2,3,2,2,3,2,3,4,4,3,3,2,1,4,2,1,2,2,3,3,2,2,2,4,4,2,0,0
00060,488,3750,3,2,3,3,1,2,1,1,1,1,1,3,4,3,3,2,2,4,4,3,2,2,3,3,2,2,2,4,3,2,0,0
00061,629,3871,1,2,3,3,3,4,2,3,2,2,2,3,4,3,5,2,1,4,2,2,3,2,4,4,4,2,99,4,99,3,0,2
00062,165,2167,2,2,2,2,2,2,2,2,2,2,3,3,4,2,2,1,1,3,2,3,3,3,4,2,4,2,2,4,3,2,0,0
00064,353,2028,2,2,3,3,2,2,3,3,3,3,3,3,4,3,3,2,2,4,3,2,2,2,4,3,2,2,2,4,3,3,0,0
00065,404,3215,3,3,3,3,2,2,3,3,3,3,2,3,4,3,3,2,3,3,3,2,99,99,99,99,99,2,2,3,3,3,0,5
00066,632,2890,3,6,4,3,3,4,3,4,4,3,3,4,4,3,4,3,3,3,3,3,2,2,3,4,3,2,2,4,3,3,0,0
00067,413,2473,5,2,3,3,5,4,5,5,5,5,4,1,2,1,3,4,4,1,4,5,4,4,3,4,5,4,4,2,4,5,0,0
00068,055,2658,3,2,4,4,3,4,3,4,4,3,3,2,4,2,3,3,3,2,4,4,3,3,2,4,4,4,3,3,4,4,0,0
00069,054,3845,5,4,5,5,3,5,5,5,4,5,3,1,4,1,4,3,4,2,3,4,99,99,99,99,99,4,4,3,4,5,0,5
00072,052,3682,3,1,3,3,2,3,2,4,3,3,2,2,4,3,3,2,2,4,3,3,2,2,4,3,4,2,3,3,4,4,0,0
00074,483,3784,3,4,6,6,4,2,6,4,3,4,4,4,3,2,3,2,2,3,4,3,4,4,1,4,4,3,3,2,4,4,0,0
00076,611,2808,1,6,3,2,2,3,3,4,3,3,2,4,4,2,2,2,2,4,3,3,3,2,4,3,4,4,3,3,4,5,0,0
00078,477,2685,4,4,2,4,3,3,2,2,2,3,3,2,4,2,2,2,3,4,3,3,2,3,2,3,4,4,4,1,3,4,0,0
00079,441,3742,4,6,4,4,3,4,4,4,4,4,3,3,4,2,1,3,3,3,3,4,3,3,4,4,4,4,3,4,4,4,0,0
