stud_id,w2sch_id,w2chin_id,w2ctch_id,w1w2chg,w2pgrm,w2clspgm,w2far,w2priv,w2urban3,w2stwt1,w2stwt2,w2nright,w2all3p,w2all3ps,w2cfree,w2cf3p,w2cf3ps,w2math,w2m3p,w2m3ps,w1w2plus,w1w2minus,w2link,w2illp,w2ctc01,w2ctc02,w2ctc03,w2ctc04,w2ctc05,w2ctc06,w2ctc07,w2ctc08,w2ctc09,w2ctc10,w2ctc11,w2ctc12,w2ctc13,w2ctc14,w2ctc15,w2ctc16,w2ctc17,w2ctc18,w2ctc19,w2ctc20,w2ctc21a,w2ctc22a,hw_average,w2ctc23,w2ctc24,w2ctc25,w2ctc26,w2ctc27,w2ctc28,w2ctc29,w2ctc31,w2ctc32,w2ctc33,w2ctc34,w2ctc35,w2ctc36,w2ctc37,w2ctc38,w2ctc39,w2ctc40,w2ctc41,w2ctc42,w2ctc43,w2summis,w2sumerr
37,438,4181,14,0,1,1,0,0,3,3.845497131,4.545226574,33,0.856539607,0.283385992,11,0.161915958,0.569832981,14,0.4962506,0.391211987,5,1,11,3.87E-19,1,4,1,1,2,2,3,3,1,1,1,2,2,2,2,3,2,1,3,1,3,1,,2,5,1,2,3,4,3,2,1,1,2,2,3,2,1,1,1,2,2,2,0,0
38,367,3897,10,0,1,1,0,0,2,0.845840156,0.967472494,24,-0.144143596,0.403890997,7,-1.10951221,0.633297026,7,-1.115011454,0.59049201,3,3,6,0.032285416,1,4,2,1,1,3,2,6,1,2,1,3,1,1,3,3,3,1,3,3,4,1,,1,6,1,2,1,4,3,3,1,1,4,1,3,2,1,1,1,1,2,4,0,0
39,323,2553,17,0,1,1,0,0,3,1.018926024,0.309962004,21,-0.358724564,0.372491986,8,-0.451712936,0.587981999,10,-0.366853505,0.440313011,1,3,4,0.742627126,1,6,1,1,1,3,5,6,1,3,1,4,4,4,3,4,1,3,4,3,6,6,,2,6,1,3,4,4,4,3,2,2,5,3,4,1,2,2,1,2,4,3,0,0
40,445,3603,2,0,1,1,0,1,3,0.226962447,0.268260688,25,-0.054289088,0.395835012,11,0.161793098,0.56140703,10,-0.092436433,0.414875001,4,3,7,1.61E-10,1,3,1,5,99,2,3,4,3,1,1,1,1,2,3,3,3,2,2,3,5,1,,1,2,1,2,4,2,2,2,1,1,3,1,2,2,1,1,1,1,1,1,1,0
41,579,3294,2,0,1,1,0,0,2,0.069207259,0.081799433,32,1.030554891,0.282963008,5,-1.269726396,0.642289996,17,1.085778952,0.378526002,4,4,9,1.00E-05,1,3,1,3,2,3,3,2,1,1,1,4,2,2,2,3,3,2,3,3,1,1,,3,6,1,2,3,97,2,3,1,2,3,2,97,1,1,2,1,2,2,3,0,2
42,345,3436,11,0,1,1,0,0,2,2.193142653,2.59E-10,20,-0.179370359,0.378968,5,-1.568911672,0.683475018,7,-0.890549541,0.538493991,2,7,4,1,1,6,1,5,1,3,4,3,1,1,1,2,3,2,3,3,2,2,3,2,1,2,,2,5,1,2,3,2,3,4,2,2,3,3,4,2,2,1,1,1,1,1,0,0
43,462,2634,13,0,1,1,0,0,2,1.122437477,1.326676965,26,-0.060212322,0.353478998,7,-0.618642628,0.557448983,14,0.064806111,0.407362998,3,0,9,3.79E-13,1,5,1,5,1,3,4,3,1,2,1,2,2,3,3,3,1,2,3,2,3,2,,2,5,1,3,3,2,3,1,1,1,3,2,2,1,2,2,2,1,3,4,0,0
44,454,3733,5,0,1,1,0,0,3,0.317655295,0.375456065,30,0.624498129,0.301851004,12,1.002714634,0.522818983,13,0.374052852,0.403631002,5,2,11,1.54E-15,1,5,1,1,3,2,4,3,1,2,1,2,2,1,2,3,1,3,2,3,1,1,,2,1,2,3,2,3,2,4,1,1,3,1,3,1,1,1,1,1,1,2,0,0
45,584,2200,1,0,1,1,1,0,2,0.08496163,0.100421309,26,0.413002133,0.311964989,8,0.260363728,0.576736987,11,0.187551022,0.408930004,7,3,8,5.25E-19,1,5,1,1,1,2,3,2,1,2,1,1,3,3,3,4,3,2,3,3,2,2,,97,5,1,3,3,4,4,3,2,1,2,2,3,1,3,2,1,3,2,4,0,1
46,362,3413,4,0,1,1,0,0,3,1.482391119,5.86E-08,26,0.246803284,0.35105601,9,-0.405398399,0.538682997,13,0.16534391,0.44354099,3,6,8,0.999999967,1,5,1,1,1,2,3,2,1,2,1,1,3,3,3,3,2,1,3,3,2,1,,2,1,1,2,3,3,3,3,1,1,3,2,3,2,2,1,1,1,2,1,0,0
47,474,3569,3,0,1,1,0,0,3,0.576990962,0.681980669,50,2.531147003,0.267563999,18,2.355038166,0.386869997,25,2.831523418,0.457731009,5,0,18,1.12E-25,1,5,1,5,3,2,2,2,2,2,1,2,2,3,3,3,3,2,2,2,2,2,,1,5,2,3,3,4,2,3,1,1,3,3,3,1,2,1,1,2,2,1,0,0
49,453,2425,13,0,1,1,0,0,3,1.126610518,1.331609368,50,2.682412386,0.287059009,17,2.315346003,0.398535997,24,2.472845316,0.407162011,4,2,16,4.80E-18,1,6,1,1,2,2,3,3,1,2,1,2,2,3,2,3,2,2,3,3,2,1,,1,1,1,2,2,4,2,2,1,1,3,2,3,1,3,2,1,2,3,3,0,0
51,368,2374,9,0,1,1,0,0,2,0.446048558,0.527211845,49,2.545242786,0.291251987,18,3.501718044,0.448329002,21,1.845747352,0.343971997,3,1,14,1.45E-19,1,6,1,1,3,2,2,2,1,3,1,2,2,2,2,2,1,2,3,3,2,1,,1,1,1,2,2,2,2,3,1,1,4,2,3,2,2,1,1,1,1,2,0,0
53,594,2496,9,0,1,1,0,1,2,0.949764729,1.122584581,32,0.990685284,0.268427998,14,1.336483479,0.524941027,14,0.91912812,0.371165007,6,2,14,2.51E-17,1,6,1,5,1,3,4,4,1,3,1,1,1,2,3,2,2,1,2,2,1,3,,2,1,1,1,2,3,4,2,2,1,1,2,1,1,2,3,1,1,2,1,0,0
54,473,2927,2,0,1,1,0,0,1,0.732841313,0.794020057,25,0.344578028,0.340131998,10,-0.034814272,0.546374023,13,0.467323184,0.396663994,3,3,9,0.083318459,1,5,1,5,99,2,3,3,2,1,1,2,2,2,1,2,1,2,2,1,2,1,,3,4,2,2,2,2,3,2,2,1,3,2,2,2,2,1,1,1,1,1,1,0
55,432,3570,3,0,1,1,0,0,2,1.317558765,1.56E-10,22,-0.482050747,0.401912004,9,-0.565291882,0.624390006,10,-0.996675789,0.571678996,1,5,5,1,1,4,1,3,2,2,4,4,1,2,1,2,3,97,97,97,2,1,97,97,5,1,,2,1,2,1,3,3,3,4,1,2,2,1,97,1,2,1,1,1,2,1,0,6
